,Student Name,Department,Physics,Mathematics,Chemistry,AI,Term Work,DOB
374,Sean Brown,comp,37.0,66.0,21.0,98.0,8,2002-2-24
375,Ronald Johnson,comp,70.0,51.5,28.0,60.0,2,2002-8-16
376,Jack Hayes,entc,69.0,35.9,53.0,,10,2001-4-23
377,Katie Striplin,mech,26.0,6.0,48.0,30.7,7,2003-9-26
378,Ronald Bennett,entc,42.0,45.1,66.1,81.0,10,2002-7-17
379,Monroe Pelletier,comp,35.0,58.0,6.0,93.0,3,2003-2-24
380,George Truxler,entc,86.0,74.0,100.0,2.7,3,2001-1-26
381,Denise Despain,mech,99.0,35.7,73.6,30.4,10,2001-10-2
382,Dorothy Huffines,mech,,35.5,251.0,63.0,8,2002-12-11
383,Lauren Vereen,mech,87.0,98.0,237.0,92.0,10,2003-8-3
384,David Williamson,entc,46.0,91.0,77.0,82.0,7,2003-12-5
385,Patricia Tolley,mech,58.0,95.0,231.0,70.0,4,2002-7-4
386,Maria Shropshire,comp,83.0,13.0,44.0,54.0,7,2003-3-22
387,Audrey Pemberton,comp,40.0,91.0,88.0,33.9,2,2002-2-17
388,Dallas Lowe,comp,,43.2,86.0,84.0,8,2001-4-14
389,Douglas Coffman,comp,80.0,9.0,64.9,73.0,8,2001-8-10
390,Marcus Morrill,mech,66.0,87.0,74.9,,10,2002-8-2
391,Mitchell Stephens,entc,36.0,87.0,20.0,100.0,2,2001-1-13
392,Liane Baird,comp,58.0,88.0,4.0,66.0,3,2003-8-20
393,John Wilson,entc,,69.0,58.0,75.0,8,2002-9-17
394,Norma Brueckman,comp,84.0,,32.0,,8,2001-8-8
395,Lillian Sanchez,mech,66.0,47.1,161.0,,8,2003-9-28
396,Johnnie Cartagena,mech,,11.0,21.0,50.0,10,2002-11-28
397,Jade Stannard,entc,67.0,58.0,58.8,,1,2003-1-13
398,Leon Edwards,comp,96.0,94.0,2.0,20.2,3,2001-6-17
399,Marylee Wrye,entc,12.0,,18.0,97.0,2,2002-7-14
400,Willie Davis,mech,66.0,,34.0,10.8,10,2001-11-12
401,Lois Goodell,entc,52.0,92.0,61.8,41.0,8,2003-6-2
402,David Cooley,comp,41.0,71.0,1.0,11.4,10,2001-10-28
403,Marisa Torres,comp,,12.0,30.0,6.0,1,2002-6-4
404,Rhonda Gonzalez,mech,55.0,13.0,11.0,68.0,1,2001-4-17
405,Malia Cooper,mech,40.0,17.0,17.0,92.0,4,2002-1-15
406,Michael Beauford,mech,87.0,86.0,24.0,33.3,3,2001-12-11
407,Jake Uribe,entc,94.0,16.0,79.0,51.0,7,2002-9-3
408,Kenneth Harrold,entc,75.0,58.0,16.0,85.0,2,2002-2-10
409,Jack Res,entc,93.0,83.0,39.0,33.9,10,2002-6-5
410,Robyn Munns,entc,75.0,73.0,60.2,3.6,2,2001-7-2
411,Amanda House,entc,67.0,22.0,1.0,41.0,9,2002-3-30
412,Harry Colman,entc,23.0,53.8,47.0,78.0,3,2002-7-26
413,Harold Park,mech,66.0,94.0,14.0,65.0,10,2001-12-15
414,Kristen Rudolph,entc,99.0,74.0,4.0,36.0,8,2002-6-24
415,Robert Hinnenkamp,mech,97.0,6.0,46.0,43.0,4,2001-11-9
416,Quinn Brown,mech,40.0,53.6,47.0,56.0,2,2002-12-17
417,Rupert Toomer,entc,100.0,35.0,93.0,81.0,3,2001-8-17
418,Charles Porcelli,mech,51.0,35.5,46.0,7.4,8,2003-10-14
419,Lillian Wood,mech,,15.0,3.0,73.0,1,2002-7-30
420,Samuel Holloman,mech,87.0,17.0,33.0,94.0,10,2002-5-24
421,Antonio Lyles,mech,90.0,93.0,276.0,37.0,6,2003-5-5
422,Amy Ramos,mech,55.0,28.0,51.0,18.0,6,2001-2-2
423,Rufus Reed,entc,98.0,30.0,72.7,61.0,3,2002-12-1
424,Cheryl Strissel,comp,88.0,64.0,189.0,38.0,4,2001-7-22
425,Edward Flowers,entc,10.0,76.0,38.0,,2,2002-5-6
426,Anna Mosley,mech,,19.0,247.0,86.0,5,2001-10-1
