,Student Name,Department,Physics,Mathematics,Chemistry,AI,Term Work,DOB
373,Larry Coffin,comp,93.0,24.0,28.0,85.0,4,2001-8-12
374,Jewell Anderson,mech,52.0,2.0,27.0,65.0,8,2002-6-23
375,Melinda Espinoza,comp,45.0,69.0,24.0,23.9,3,2002-1-8
376,Kathryn Faulkner,mech,96.0,68.0,88.0,63.0,5,2003-6-1
377,David Peak,comp,45.0,59.0,271.0,74.0,1,2001-2-26
378,Lorraine Pye,mech,86.0,,21.0,5.0,1,2001-1-5
379,Eufemia Walken,mech,37.0,,6.0,59.0,10,2003-1-24
380,Janet Small,mech,36.0,6.0,48.0,67.0,4,2001-11-14
381,Connie Mitchell,mech,92.0,42.7,69.3,63.0,9,2002-8-15
382,Joshua Pigg,entc,74.0,63.0,43.0,,9,2002-9-24
383,Sally Weaver,comp,63.0,7.0,46.0,,3,2001-3-6
384,Rhonda Larrabee,mech,52.0,11.0,65.1,10.9,5,2002-1-1
385,Deborah Smith,entc,78.0,43.3,25.0,70.0,8,2002-4-29
386,Marilyn Cannon,comp,70.0,56.0,18.0,70.0,4,2002-12-30
